Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3sec_MFCCs_female,0.6828,0.6384,0.4559,0.4122,0.3943,0.6897,0.825
vocalset_10_3sec_MFCCs_male,0.7118,0.6791,0.1882,0.192,0.159,0.428,0.571
pitch_3sec_MFCCs_mixed,0.7259,0.6031,0.6136,0.4735,0.4928,0.8278,0.8934
pitch_3sec_MFCCs_female,0.731,0.61,0.5795,0.3956,0.4003,0.8615,0.9359
pitch_3sec_MFCCs_male,0.7385,0.6353,0.5065,0.3691,0.3584,0.7217,0.8312
timbre_3sec_MFCCs_mixed,0.8027,0.6929,0.7202,0.5849,0.609,0.886,0.9361
timbre_3sec_MFCCs_female,0.8188,0.7042,0.583,0.5063,0.4628,0.8462,0.9757
timbre_3sec_MFCCs_male,0.8259,0.7063,0.6355,0.3838,0.3745,0.8283,0.8855
vocalset_10_3sec_MFCCs_mixed,0.6856,0.631,0.3948,0.3811,0.3568,0.626,0.7339
vocalset_10_3sec_VGGish_dataframes_mixed,0.8195,0.7841,0.573,0.5508,0.564,0.7448,0.8141
vocalset_10_3sec_VGGish_dataframes_female,0.8034,0.7761,0.6074,0.6009,0.5779,0.8044,0.8794
vocalset_10_3sec_VGGish_dataframes_male,0.8529,0.8078,0.3232,0.2329,0.2432,0.5495,0.6611
pitch_3sec_VGGish_dataframes_mixed,0.8661,0.744,0.6713,0.51,0.5374,0.8481,0.9224
pitch_3sec_VGGish_dataframes_female,0.8668,0.7598,0.7769,0.5523,0.5773,0.8846,0.9564
pitch_3sec_VGGish_dataframes_male,0.859,0.7034,0.5019,0.3356,0.3238,0.7138,0.8532
timbre_3sec_VGGish_dataframes_mixed,0.8814,0.8692,0.7133,0.6749,0.6961,0.8687,0.905
timbre_3sec_VGGish_dataframes_female,0.8709,0.8641,0.668,0.7263,0.6664,0.8502,0.9717
timbre_3sec_VGGish_dataframes_male,0.9514,0.8958,0.4578,0.2728,0.286,0.75,0.8133
