Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3sec_MFCCs_mixed,0.9526,0.9414,0.5083,0.4908,0.5093,0.6211,0.7082
vocalset_10_3sec_MFCCs_female,0.9065,0.9036,0.3691,0.3641,0.3358,0.5882,0.7441
vocalset_10_3sec_MFCCs_male,0.9971,0.9904,0.2261,0.1352,0.1178,0.3975,0.5689
pitch_3sec_MFCCs_mixed,0.8712,0.8066,0.6459,0.5331,0.554,0.8525,0.929
pitch_3sec_MFCCs_female,0.8297,0.8189,0.4872,0.4123,0.4093,0.8103,0.9718
pitch_3sec_MFCCs_male,0.9872,0.9812,0.4545,0.3329,0.2905,0.6957,0.8275
timbre_3sec_MFCCs_mixed,0.9979,0.997,0.7133,0.6137,0.6257,0.7997,0.8791
timbre_3sec_MFCCs_female,0.9986,0.999,0.6437,0.6323,0.5951,0.8704,0.9474
timbre_3sec_MFCCs_male,1.0,1.0,0.3976,0.2298,0.2285,0.6235,0.759
vocalset_10_3sec_VGGish_dataframes_mixed,0.9996,0.9999,0.6245,0.5971,0.5954,0.7405,0.8245
vocalset_10_3sec_VGGish_dataframes_female,1.0,1.0,0.6882,0.657,0.6314,0.8515,0.9294
vocalset_10_3sec_VGGish_dataframes_male,1.0,1.0,0.3263,0.2592,0.2551,0.5347,0.6632
pitch_3sec_VGGish_dataframes_mixed,1.0,1.0,0.7306,0.6491,0.6526,0.8879,0.9558
pitch_3sec_VGGish_dataframes_female,0.9983,0.9973,0.841,0.7089,0.7104,0.9359,0.9795
pitch_3sec_VGGish_dataframes_male,1.0,1.0,0.5428,0.4762,0.427,0.7584,0.8885
timbre_3sec_VGGish_dataframes_mixed,1.0,1.0,0.6684,0.6774,0.6719,0.8566,0.9413
timbre_3sec_VGGish_dataframes_female,1.0,1.0,0.7935,0.8297,0.7579,0.919,0.9717
timbre_3sec_VGGish_dataframes_male,1.0,1.0,0.4608,0.3078,0.3182,0.759,0.8855
