Model,Train Accuracy,Train Balanced Accuracy,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3
vocalset_10_3sec_MFCCs_mixed,1.0,1.0,0.5248,0.519,0.5585,0.6579,0.7597
vocalset_10_3sec_MFCCs_female,1.0,1.0,0.4926,0.3621,0.3709,0.7294,0.8294
vocalset_10_3sec_MFCCs_male,1.0,1.0,0.2376,0.1577,0.1237,0.4585,0.612
pitch_3sec_MFCCs_mixed,1.0,1.0,0.6911,0.5895,0.6354,0.8676,0.9408
pitch_3sec_MFCCs_female,1.0,1.0,0.6,0.4302,0.4344,0.8718,0.9564
pitch_3sec_MFCCs_male,1.0,1.0,0.4601,0.3356,0.2985,0.7774,0.8961
timbre_3sec_MFCCs_mixed,1.0,1.0,0.7478,0.6278,0.6824,0.8532,0.9085
timbre_3sec_MFCCs_female,1.0,1.0,0.7126,0.5717,0.5461,0.8907,0.9798
timbre_3sec_MFCCs_male,1.0,1.0,0.5602,0.3455,0.3231,0.7771,0.8765
vocalset_10_3sec_VGGish_dataframes_mixed,1.0,1.0,0.6288,0.5883,0.6449,0.7798,0.8626
vocalset_10_3sec_VGGish_dataframes_female,1.0,1.0,0.7074,0.6011,0.5747,0.8368,0.9088
vocalset_10_3sec_VGGish_dataframes_male,1.0,1.0,0.3463,0.2165,0.2077,0.5989,0.7358
pitch_3sec_VGGish_dataframes_mixed,1.0,1.0,0.722,0.6201,0.6585,0.8922,0.9547
pitch_3sec_VGGish_dataframes_female,1.0,1.0,0.8,0.5416,0.5419,0.8923,0.9513
pitch_3sec_VGGish_dataframes_male,1.0,1.0,0.5279,0.345,0.3362,0.777,0.9126
timbre_3sec_VGGish_dataframes_female,1.0,1.0,0.7247,0.712,0.6334,0.8907,1.0
timbre_3sec_VGGish_dataframes_male,1.0,1.0,0.5813,0.3465,0.3607,0.7922,0.9488
timbre_3sec_VGGish_dataframes_mixed,1.0,1.0,0.7703,0.6745,0.7406,0.9102,0.9741
