Model,Input Data,Train Accuracy,Train Balanced Accuracy,Train F1,Train Top-2,Train Top-3,Val Accuracy,Val Balanced Accuracy,Val F1,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,Train belt Accuracy,Train breathy Accuracy,Train inhaled Accuracy,Train lip_trill Accuracy,Train spoken Accuracy,Train straight Accuracy,Train trill Accuracy,Train trillo Accuracy,Train vibrato Accuracy,Train vocal_fry Accuracy,Val belt Accuracy,Val breathy Accuracy,Val inhaled Accuracy,Val lip_trill Accuracy,Val spoken Accuracy,Val straight Accuracy,Val trill Accuracy,Val trillo Accuracy,Val vibrato Accuracy,Val vocal_fry Accuracy,CPU,RAM (GB),GPU,Platform,Key Parameters,Input Features,Input Feature Type,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB)
knn,opensmile,0.4602803738317757,0.3762994582821053,0.3820019113890846,0.7119158878504673,0.8885514018691589,0.2125,0.1493034726315273,0.1389442038680861,0.40625,0.54875,4.1937,-,-,4280.0,1600.0,0.55858310626703,0.5525114155251142,0.2301587301587301,0.4705882352941176,0.2537313432835821,0.6314831665150137,0.2083333333333333,0.1435185185185185,0.472707423580786,0.2413793103448276,0.2524271844660194,0.2035398230088495,0.0980392156862745,0.1461538461538461,0.05,0.3629441624365482,0.0178571428571428,0.0,0.2752808988764045,0.0867924528301886,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",6373,opensmile-compare-2016,974.7,2.32,0.0
rf,opensmile,1.0,1.0,1.0,1.0,1.0,0.71625,0.6586000525238493,0.6671527919589121,0.855625,0.921875,12.4454,-,-,4280.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6990291262135923,0.7787610619469026,0.3529411764705882,0.9384615384615383,0.85,0.9213197969543148,0.2053571428571428,0.5535714285714286,0.7808988764044944,0.5056603773584906,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,6373,opensmile-compare-2016,92.4,2.18,0.0
mlp,opensmile,0.999766355140187,0.9997716894977168,0.999840239069707,1.0,1.0,0.700625,0.6876005403998938,0.6630720698372609,0.84875,0.913125,1.6851,-,-,4280.0,1600.0,1.0,0.997716894977169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6893203883495146,0.7964601769911505,0.4901960784313725,0.7923076923076923,0.9,0.7385786802030457,0.4910714285714285,0.5892857142857143,0.7359550561797753,0.6528301886792452,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",6373,opensmile-compare-2016,1156.2,2.43,0.0
svm,opensmile,0.9460280373831776,0.9726862079438308,0.9557611461113008,0.9950934579439252,0.9992990654205608,0.713125,0.7126464114159275,0.6830480863989672,0.881875,0.931875,253.3811,-,-,4280.0,1600.0,0.9809264305177112,0.9817351598173516,1.0,1.0,1.0,0.8562329390354868,1.0,1.0,0.9661572052401748,0.9418103448275862,0.7475728155339806,0.9557522123893806,0.4705882352941176,0.8538461538461538,0.85,0.7182741116751269,0.4017857142857143,0.7321428571428571,0.7134831460674157,0.6830188679245283,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=balanced",6373,opensmile-compare-2016,99.6,2.84,0.0
knn,vggish,0.8161214953271028,0.7832769384768429,0.8060981512372021,0.9516355140186916,0.9941588785046728,0.530625,0.5353576028377998,0.494580648306257,0.73125,0.8175,0.1328,-,-,4280.0,1600.0,0.8010899182561307,0.8242009132420092,0.7142857142857143,0.9845201238390092,0.9402985074626866,0.8762511373976342,0.5909090909090909,0.4629629629629629,0.8580786026200873,0.7801724137931034,0.5728155339805825,0.8407079646017699,0.3333333333333333,0.8769230769230769,1.0,0.6878172588832487,0.125,0.1607142857142857,0.5449438202247191,0.2113207547169811,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",128,vggish,0.0,1.56,0.0
rf,vggish,1.0,1.0,1.0,1.0,1.0,0.57,0.5247785283622514,0.5006832369166391,0.741875,0.8625,1.8175,-,-,4280.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5145631067961165,0.7699115044247787,0.1372549019607843,0.8923076923076924,1.0,0.8071065989847716,0.1071428571428571,0.125,0.6039325842696629,0.290566037735849,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,128,vggish,50.0,1.58,0.0
mlp,vggish,0.8649532710280374,0.8489297988638157,0.8640893576665197,0.9703271028037384,0.9908878504672896,0.60125,0.6051353607520011,0.5748862712842484,0.759375,0.840625,0.7487,-,-,4280.0,1600.0,0.8092643051771117,0.7557077625570776,0.8333333333333334,1.0,0.9552238805970148,0.9117379435850772,0.7310606060606061,0.6851851851851852,0.8853711790393013,0.9224137931034484,0.6310679611650486,0.7345132743362832,0.3529411764705882,0.8615384615384616,1.0,0.751269035532995,0.2410714285714285,0.4821428571428571,0.547752808988764,0.4490566037735849,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",128,vggish,0.0,1.41,0.0
svm,vggish,0.8273364485981308,0.8802451410297707,0.838843080200714,0.9621495327102804,0.9876168224299066,0.590625,0.6400090990928511,0.568690933014056,0.78625,0.880625,3.7741,-,-,4280.0,1600.0,0.9209809264305178,0.8789954337899544,0.9603174603174603,0.9938080495356038,1.0,0.6815286624203821,0.8257575757575758,0.8611111111111112,0.8329694323144105,0.8469827586206896,0.7378640776699029,0.9026548672566372,0.4901960784313725,0.8615384615384616,1.0,0.6522842639593909,0.2232142857142857,0.6071428571428571,0.5365168539325843,0.3886792452830189,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"kernel=rbf, C=1.0, class_weight=balanced",128,vggish,115.8,1.22,0.0
knn,whisper,0.819392523364486,0.8168528965165841,0.8266045109848434,0.9644859813084112,0.9953271028037384,0.61875,0.6261402382124046,0.5848914953446077,0.8075,0.8875,0.3204,-,-,4280.0,1600.0,0.7983651226158038,0.8082191780821918,0.8333333333333334,0.9907120743034056,0.9402985074626866,0.8298453139217471,0.7159090909090909,0.6759259259259259,0.87117903930131,0.7047413793103449,0.6213592233009708,0.7168141592920354,0.4509803921568627,0.9384615384615383,1.0,0.6751269035532995,0.2142857142857142,0.5357142857142857,0.7275280898876404,0.3811320754716981,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"k=5, Euclidean distance",512,whisper-base,0.0,1.3,0.0
rf,whisper,1.0,1.0,1.0,1.0,1.0,0.684375,0.6299416414671983,0.643416567806615,0.84125,0.913125,3.2587,-,-,4280.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6116504854368932,0.6460176991150443,0.3529411764705882,0.9384615384615383,0.9,0.817258883248731,0.2232142857142857,0.4821428571428571,0.8258426966292135,0.5018867924528302,x86_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86_64-with-glibc2.39,100 trees,512,whisper-base,75.0,1.16,0.0
