Model,Input Data,Train Accuracy,Train Balanced Accuracy,Val F1,Val Accuracy,Val Balanced Accuracy,Val Top-2,Val Top-3,Train+Eval Time (s),Epochs,Batch Size,n_samples train,n_samples_val,CPU,RAM (GB),GPU,Platform,Key Parameters,Input Features,Input Feature Type,Avg CPU %,Peak RSS (GB),Peak GPU Memory (GB),Backbone,Classifier Head,Total Params,Trainable Params,Non-Trainable Params,Encoder Frozen,Max Epochs,frame_duration,overlap,n_runs,Train Accuracy Std,Train Balanced Accuracy Std,Val Accuracy Std,Val Balanced Accuracy Std,Val F1 Std,Val Top-2 Std,Val Top-3 Std,,,,,,,,,,
knn,mfcc,0.781,0.7,0.314,0.391,0.359,0.588,0.698,0.142,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"k=5, Euclidean distance",13,mfcc,0,1.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,mfcc,1,1,0.342,0.443,0.346,0.647,0.759,0.656,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,13,mfcc,0,1.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,mfcc,0.619,0.494,0.306,0.41,0.326,0.598,0.718,0.314,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",13,mfcc,0,1.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm,mfcc,0.742,0.606,0.367,0.444,0.386,0.633,0.749,2.23,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"kernel=rbf, C=1.0, class\_weight=balanced",13,mfcc,135.3,1.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
knn,opensmile,0.46,0.376,0.139,0.212,0.149,0.406,0.549,3.69,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"k=5, Euclidean distance",6373,opensmile-compare-2016,923.3,2.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,opensmile,1,1,0.667,0.716,0.659,0.856,0.922,12.217,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,6373,opensmile-compare-2016,91.7,2.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,opensmile,1,1,0.663,0.701,0.688,0.849,0.913,1.595,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",6373,opensmile-compare-2016,1176.2,2.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm,opensmile,0.976,0.973,0.693,0.734,0.698,0.876,0.932,232.557,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"kernel=rbf, C=1.0, class\_weight=balanced",6373,opensmile-compare-2016,99.6,2.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
knn,vggish,0.816,0.783,0.495,0.531,0.535,0.731,0.818,0.136,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"k=5, Euclidean distance",128,vggish,0,1.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,vggish,1,1,0.501,0.57,0.525,0.742,0.863,1.778,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,128,vggish,50,1.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,vggish,0.865,0.849,0.575,0.601,0.605,0.759,0.841,0.535,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",128,vggish,0,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm,vggish,0.846,0.808,0.582,0.626,0.61,0.782,0.88,2.936,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"kernel=rbf, C=1.0, class\_weight=balanced",128,vggish,122.5,1.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
knn,clap,0.897,0.869,0.671,0.693,0.679,0.849,0.907,0.862,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"k=5, Euclidean distance",1024,clap-2023,0,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,clap,1,1,0.684,0.715,0.677,0.868,0.925,4.677,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,1024,clap-2023,80,1.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,clap,1,1,0.673,0.688,0.704,0.864,0.917,1.443,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"1 hidden layer (12 units), lr=0.01, momentum=0.5, max 500 iters",1024,clap-2023,1778.3,1.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm,clap,0.944,0.931,0.726,0.736,0.728,0.899,0.943,13.936,-,-,4045,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"kernel=rbf, C=1.0, class\_weight=balanced",1024,clap-2023,93.7,1.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
knn,whisper,0.819,0.817,0.585,0.619,0.626,0.807,0.887,0.306,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,"k=5, Euclidean distance",512,whisper-base,0,1.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,whisper,1,1,0.643,0.684,0.63,0.841,0.913,3.178,-,-,4280,1600,x86\_64,62.6,"NVIDIA GeForce RTX 5080, 16303 MiB, 590.48.01, 12.0",Linux-6.17.0-22-generic-x86\_64-with-glibc2.39,100 trees,512,whisper-base,75.2,1.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
