,precision,recall,f1-score,support
correct,0.341044776119403,0.44455252918287935,0.3859797297297297,1028.0
arched_back,0.33399602385685884,0.2503725782414307,0.28620102214650767,671.0
hunched_back,0.37279335410176534,0.3958103638368247,0.3839572192513369,907.0
sideways,0.38605442176870747,0.26456876456876455,0.313969571230982,858.0
chest_breathing,0.31161971830985913,0.20774647887323944,0.24929577464788732,852.0
over_articulation,0.5077399380804953,0.47398843930635837,0.49028400597907323,692.0
under_articulation,0.41488372093023257,0.6607407407407407,0.5097142857142857,675.0
accuracy,0.3804328699630477,0.3804328699630477,0.3804328699630477,0.3804328699630477
macro avg,0.3811617075953317,0.38539712782146257,0.3742002298142575,5683.0
weighted avg,0.3767316869058878,0.3804328699630477,0.3699096978698356,5683.0
